path,total_conversions,total_conversion_value
eta > iota > alpha > eta,1,0.244
iota > iota > iota > iota,2,3.195
alpha > iota > alpha > alpha > alpha > iota > alpha > alpha > alpha > alpha > alpha,2,6.754
beta > eta,1,2.402
iota > eta > theta > lambda > lambda > theta > lambda,0,0
alpha > eta > alpha > alpha > eta > iota > iota > iota > alpha > alpha > alpha > alpha > alpha > alpha > theta > alpha > alpha > alpha > alpha > alpha > alpha,1,5.044
iota > beta > eta > beta > eta,0,0
beta > iota > kappa,1,6.82
eta,1,3.3
iota > iota > beta,1,2.6
iota > iota > iota,10,30.734615
beta > eta,1,3.492
iota > alpha > iota > iota > iota > iota > alpha > alpha > alpha > iota,1,2.9
eta,3,11.286
iota > iota > theta > theta > eta,1,7.099
beta > alpha > alpha > eta,1,2.045
alpha > iota > iota > iota > iota > iota > eta,1,3.75
theta > theta > alpha > alpha > alpha > theta > theta > alpha > theta,1,2.258
iota > iota > eta,1,2.157
lambda > lambda > zeta > theta > alpha,1,5.33
lambda > alpha > lambda > alpha > epsilon > lambda,1,2.464
theta > lambda > lambda > theta > alpha > lambda > theta > alpha > alpha > lambda > theta > lambda > lambda > lambda > theta > lambda,0,0
iota > theta > theta,1,2.6985
eta > eta > eta,1,3.442
iota > eta > alpha > alpha,0,0
beta > zeta > zeta > beta,1,0.865
eta > theta > alpha > lambda,1,4.23
eta > lambda > lambda,2,3.639
theta > eta > theta > alpha,1,1.376
beta > eta > beta > eta > beta > eta > beta > eta,1,3.342
iota > zeta > alpha > eta > eta > alpha > alpha > alpha > eta > alpha > alpha,1,2.75
beta > iota > alpha > alpha > alpha,1,1.237
beta,44,78.141684
eta,1,3.752
iota > zeta > epsilon > alpha > eta > eta > eta > eta,1,0.1
beta > iota > eta > alpha > alpha,0,0
beta > beta > eta > beta > beta,1,1.635
iota > iota > iota > eta > iota > epsilon > iota > eta > eta,1,2.4
beta > eta,1,3.4
eta > theta,1,2.895
beta > lambda,1,3.7
eta,1,1.9
iota > iota > iota > beta > eta > beta,1,6.05
beta > eta > beta > beta > beta > eta > beta > beta > eta,1,5.065
gamma > iota > gamma > alpha,1,2.13
theta > beta > beta > beta > beta > theta,1,1.2
lambda > zeta > alpha > lambda > lambda > lambda > lambda,1,3.4
iota > beta > eta,0,0
beta > beta > eta > beta > iota,1,2.03
beta > eta > beta > beta > eta,1,2.539
alpha > alpha > alpha > zeta > theta,1,4.5
iota > iota > beta > iota > iota > iota > iota > iota > theta > theta > theta > theta,0,0
eta > eta,1,3.56
theta > beta > alpha > epsilon,1,5.596
beta > eta > beta > beta > beta > eta > beta > epsilon,1,1.1
beta > beta > beta > beta > beta > eta,1,7.594
eta,8,7.017778
eta > eta > theta > alpha,1,3.465
theta > alpha > iota > iota > iota > iota,2,9.686
iota > beta > alpha > eta,1,5.492
beta > eta > alpha,1,5.55
alpha > beta > beta > beta > alpha > beta > theta > theta > iota > theta > theta > beta > theta > beta > beta > eta > theta > theta > beta > theta > theta > theta,1,3.971
iota > alpha > alpha > epsilon,2,11.34
iota > iota,1,1.355
alpha > alpha > alpha > alpha > iota > epsilon > zeta > alpha > alpha,1,1.49
eta > eta > iota > iota > iota > iota > eta > eta,1,7.77
iota > iota > alpha > iota > iota > iota > iota > iota > iota,2,2.96
iota > alpha > iota > iota > iota > iota > theta > iota > theta > iota > lambda > epsilon,1,2.465
eta > beta > eta > beta > eta,1,3.325
eta,1,5.161
eta > eta > alpha > eta > eta > alpha,0,0
beta > beta > beta > alpha,1,2.54
iota > eta,3,15.55
beta > eta > eta,1,11.9
beta > beta > beta > beta > beta > eta,1,3.368
gamma > iota,1,1.717
eta > theta > alpha > alpha > theta,1,3.7
beta > epsilon > theta > epsilon,1,5.293
beta > eta,7,27.839
eta > epsilon,1,2.52
beta > eta > beta > eta > eta > alpha,1,6.088
beta > theta > beta > beta > eta > alpha > beta > beta,1,2.235
beta > kappa > kappa > kappa > kappa > beta,0,0
theta > beta > eta > beta > gamma,1,2.417
iota > iota > iota > iota > iota > iota > alpha > iota > alpha > iota > alpha > alpha,1,2.35
lambda > theta > lambda > lambda > theta > lambda > lambda > theta > alpha > theta > alpha > lambda > theta > lambda,1,7.476
beta,1,2.9
beta > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha > alpha,1,4.77
eta > eta,1,3.693
iota > iota > alpha,0,0
iota > iota > iota > iota > iota > eta,0,0
iota > iota > iota > iota > iota > iota,1,2.6
eta > beta,1,8
iota > eta > eta > eta > alpha,1,2.678
theta > theta > eta > theta > beta > theta > eta > beta > iota > theta > beta > beta > alpha,1,0.7
eta > alpha > alpha > iota > iota > eta > alpha > alpha,1,1.88
beta > beta,1,11.3
eta > iota > eta,0,0
iota > eta,1,3.126
eta > iota > iota > iota > iota > iota > iota > iota > lambda > lambda > iota > epsilon > alpha,1,7.983
